channel_id,source_distinction_id,best_probability_target_distinction_id,best_probability_decoder_id,best_probability_success,best_probability_success_fraction,best_probability_passes_high_recovery,chance_success_probability,normalized_recovery_advantage,any_exact_support_recoverable,exact_support_target_distinction_ids,support_probability_relation,claim_boundary
asym_A_erased_B_preserved,D_A,E_A,dec::asym_A_erased_B_preserved::D_A::E_A::bayes_optimal_decoder,0.5,1/2,0,0.5,0.0,0,,neither_exact_nor_high,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
asym_A_erased_B_preserved,D_B,E_B,dec::asym_A_erased_B_preserved::D_B::E_B::bayes_optimal_decoder,1.0,1,1,0.5,1.0,1,E_B;E_joint,exact_and_high_probability,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
asym_A_erased_B_preserved,D_joint,E_B,dec::asym_A_erased_B_preserved::D_joint::E_B::bayes_optimal_decoder,0.5,1/2,0,0.25,0.3333333333333333,0,,neither_exact_nor_high,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
asym_A_erased_B_preserved,D_parity,E_A,dec::asym_A_erased_B_preserved::D_parity::E_A::bayes_optimal_decoder,0.5,1/2,0,0.5,0.0,0,,neither_exact_nor_high,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
asym_A_erased_B_preserved,D_trivial,E_A,dec::asym_A_erased_B_preserved::D_trivial::E_A::bayes_optimal_decoder,1.0,1,1,1.0,0.0,1,E_A;E_B;E_joint;E_parity;E_trivial,exact_and_high_probability,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
asym_A_noisy_B_preserved_p_0_25,D_A,E_A,dec::asym_A_noisy_B_preserved_p_0_25::D_A::E_A::bayes_optimal_decoder,0.75,3/4,0,0.5,0.5,0,,neither_exact_nor_high,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
asym_A_noisy_B_preserved_p_0_25,D_B,E_B,dec::asym_A_noisy_B_preserved_p_0_25::D_B::E_B::bayes_optimal_decoder,1.0,1,1,0.5,1.0,1,E_B;E_joint,exact_and_high_probability,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
asym_A_noisy_B_preserved_p_0_25,D_joint,E_joint,dec::asym_A_noisy_B_preserved_p_0_25::D_joint::E_joint::bayes_optimal_decoder,0.75,3/4,0,0.25,0.6666666666666666,0,,neither_exact_nor_high,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
asym_A_noisy_B_preserved_p_0_25,D_parity,E_joint,dec::asym_A_noisy_B_preserved_p_0_25::D_parity::E_joint::bayes_optimal_decoder,0.75,3/4,0,0.5,0.5,0,,neither_exact_nor_high,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
asym_A_noisy_B_preserved_p_0_25,D_trivial,E_A,dec::asym_A_noisy_B_preserved_p_0_25::D_trivial::E_A::bayes_optimal_decoder,1.0,1,1,1.0,0.0,1,E_A;E_B;E_joint;E_parity;E_trivial,exact_and_high_probability,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
