example_id,channel_id,decoder_policy_id,threshold,D_A_success,D_B_success,D_joint_success,D_parity_success,D_A_pass,D_B_pass,D_joint_pass,D_parity_pass,diagnostic_class,why_useful_for_formal_arm,recovery_provenance_class,registry_digest,cascade_evidence_status,notes
marginal_joint_example_000,asym_A_erased_B_preserved,bayes_best_target_distinction,0.95,0.5,1.0,0.5,0.5,0,1,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_001,asym_A_erased_B_preserved,fixed_declared_target_distinction,0.95,0.5,1.0,0.5,0.5,0,1,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_002,asym_A_noisy_B_preserved_p_0_25,bayes_best_target_distinction,0.95,0.75,1.0,0.75,0.75,0,1,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_003,asym_A_noisy_B_preserved_p_0_25,fixed_declared_target_distinction,0.95,0.75,1.0,0.75,0.75,0,1,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_004,asym_A_preserved_B_noisy_p_0_25,bayes_best_target_distinction,0.95,1.0,0.75,0.75,0.75,1,0,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_005,asym_A_preserved_B_noisy_p_0_25,fixed_declared_target_distinction,0.95,1.0,0.75,0.75,0.75,1,0,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_006,asym_B_erased_A_preserved,bayes_best_target_distinction,0.95,1.0,0.5,0.5,0.5,1,0,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_007,asym_B_erased_A_preserved,fixed_declared_target_distinction,0.95,1.0,0.5,0.5,0.5,1,0,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_008,bit_flip_p_0_00,bayes_best_target_distinction,0.95,1.0,1.0,1.0,1.0,1,1,1,1,marginal_and_joint_recovered,sanity positive example for joint and marginal recovery,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_009,bit_flip_p_0_00,fixed_declared_target_distinction,0.95,1.0,1.0,1.0,1.0,1,1,1,1,marginal_and_joint_recovered,sanity positive example for joint and marginal recovery,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
