space,rule_id,stratum,q,radius,table_digest,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,table_json,target_role
q3_radius1,q3r1_s1_0002,S1_random_unbiased,3,1,161b7b98f66d,True,2,True,False,0.4444444444444444,1.579013207279971,0.0037535862447711,0.0,False,False,"[1,2,1,0,2,2,2,0,0,2,0,0,0,0,1,1,0,1,1,2,1,0,1,0,1,2,2]",candidate
q3_radius1,q3r1_s2_0046,S2_quiescent_preserving,3,1,33242d607a50,True,2,True,False,0.2222222222222222,1.3800943362833298,0.1292574205033946,0.0,True,True,"[0,2,0,1,2,2,2,2,2,2,2,1,2,0,2,2,0,1,1,0,2,2,2,1,2,2,0]",candidate
q3_radius1,q3r1_s3_0020,S3_sparse_active_preserving,3,1,ca67369dfddd,True,2,True,False,0.4444444444444444,1.4618278953766808,0.0776892862061084,0.0,True,True,"[0,0,0,1,0,2,1,0,2,2,1,0,1,0,0,2,2,0,1,2,0,2,0,2,0,0,0]",candidate
q3_radius1,q3r1_s3_0047,S3_sparse_active_preserving,3,1,4ae0664a557e,True,2,True,False,0.6666666666666666,1.561015010593309,0.0151091840450174,0.0,False,False,"[0,1,2,0,0,0,1,2,1,0,0,0,1,0,1,1,1,0,1,2,2,2,2,0,2,1,0]",candidate
q3_radius1,q3r1_s4_0014,S4_neighbor_dependent,3,1,f62ba809cda5,True,2,True,False,0.4444444444444444,1.4558764720277595,0.0814442162730427,0.0,True,True,"[2,1,2,2,1,1,1,1,2,2,2,1,1,1,0,1,1,2,1,2,2,0,1,2,0,2,0]",candidate
q3_radius1,q3r1_s5_0012,S5_asymmetric_neighbor_dependent,3,1,620a4ba56ad0,True,2,True,False,0.5925925925925926,1.5790132072799712,0.003753586244771,0.0,False,False,"[0,2,0,1,1,1,1,0,1,2,1,0,0,2,2,1,0,2,2,1,0,2,0,2,0,0,2]",candidate
q3_radius1,q3r1_s5_0016,S5_asymmetric_neighbor_dependent,3,1,a50a23d92df4,True,2,True,False,0.3703703703703703,1.5610150105933087,0.0151091840450175,0.0,False,False,"[0,1,1,1,2,2,0,2,0,0,0,2,2,2,2,0,0,2,2,2,1,2,1,1,0,0,1]",candidate
q3_radius1,q3r1_s7_0000,S7_symmetric_control,3,1,779feecbd241,True,2,True,False,0.0,1.566367266898636,0.0117322862932461,0.0,False,False,"[0,1,1,1,2,0,2,2,0,1,2,0,2,1,0,2,1,2,1,0,0,0,0,2,0,2,2]",leaked_control
q3_radius1,q3r1_s7_0001,S7_symmetric_control,3,1,8f88f77bede8,True,2,True,False,0.0,1.4558764720277595,0.0814442162730427,0.0,True,False,"[0,1,1,0,1,1,1,0,1,1,0,0,1,1,2,0,0,0,1,0,2,1,2,2,1,0,0]",leaked_control
q3_radius1,q3r1_s7_0002,S7_symmetric_control,3,1,25f9ecd37ab4,True,2,True,False,0.0,1.4558764720277595,0.0814442162730427,0.0,True,False,"[0,1,0,1,0,1,1,0,1,1,1,0,0,1,2,0,0,2,0,0,0,1,2,1,1,2,1]",leaked_control
q3_radius1,q3r1_s7_0003,S7_symmetric_control,3,1,ce78c2f4578b,True,2,True,False,0.0,1.5304930567574826,0.0343663928571748,0.0,True,False,"[0,2,1,2,2,1,1,0,1,2,2,1,2,1,1,0,2,0,1,1,2,1,1,0,1,0,2]",leaked_control
q3_radius1,q3r1_s7_0004,S7_symmetric_control,3,1,f9bf78b69322,True,2,True,False,0.0,1.2799749139041574,0.1924257429928024,0.0,True,False,"[0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,2,0,1,1,1,0,1,2,1,0,1]",leaked_control
q3_radius1,q3r1_s7_0005,S7_symmetric_control,3,1,5d95cd939e2e,True,2,True,False,0.0,1.5304930567574826,0.0343663928571748,0.0,True,False,"[0,1,1,1,1,0,0,2,2,1,2,2,1,1,2,2,1,2,1,2,2,0,2,0,2,2,0]",leaked_control
q3_radius1,q3r1_s7_0008,S7_symmetric_control,3,1,b520d0a9bcb9,True,2,True,False,0.0,1.5304930567574826,0.0343663928571748,0.0,True,False,"[0,1,2,1,1,2,0,1,2,1,1,1,1,0,1,1,2,0,2,1,2,2,1,2,2,0,0]",leaked_control
